,소재지(시군구)별,녹지별,항목,단위,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,Unnamed: 20
304,금정구,계,시설수[개],개,3.0,3.0,6.0,6.0,,,,,,,16.0,,,,,,
305,금정구,계,면적[㎡],㎡,323329.0,323329.0,362206.0,362170.0,,,,,,,409642.0,,,,,,
312,강서구,계,시설수[개],개,34.0,64.0,83.0,141.0,,,4.0,4.0,6.0,6.0,6.0,,,,,,
313,강서구,계,면적[㎡],㎡,1380100.0,1651114.0,1708362.0,3080680.0,,,30136.0,30136.0,30660.0,30660.0,30660.0,,,,,,
320,연제구,계,시설수[개],개,2.0,4.0,4.0,4.0,,,,,,,,,,,,,
321,연제구,계,면적[㎡],㎡,2468.0,3003.0,3003.0,3003.0,,,,,,,,,,,,,
328,수영구,계,시설수[개],개,3.0,3.0,4.0,4.0,,,,,,,,,,,,,
329,수영구,계,면적[㎡],㎡,32024.0,32024.0,32244.0,32244.0,,,,,,,,,,,,,
336,사상구,계,시설수[개],개,20.0,22.0,28.0,28.0,,,,,,,,,,,,,
337,사상구,계,면적[㎡],㎡,47110.0,47828.0,55564.0,55564.0,,,,,,,,,,,,,
344,기장군,계,시설수[개],개,17.0,58.0,75.0,152.0,,,,,,5.0,5.0,,,,,,
345,기장군,계,면적[㎡],㎡,401448.0,560508.0,784027.0,1373633.0,,,,,,28059.0,28059.0,,,,,,
352,대구광역시,계,시설수[개],개,148.0,159.0,419.0,470.0,472.0,480.0,513.0,518.0,561.0,625.0,625.0,632.0,638.0,667.0,666.0,677.0,
353,대구광역시,계,면적[㎡],㎡,6851656.0,6688386.0,8042155.0,8477831.0,8287978.0,7984671.0,8009880.0,8195245.0,8801345.0,8217374.0,7931700.0,7260884.0,7068727.0,6875130.0,6932334.0,4692846.0,
360,중구,계,시설수[개],개,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
361,중구,계,면적[㎡],㎡,10952.0,10952.0,10952.0,10952.0,10952.0,9418.0,9418.0,9418.0,9418.0,9418.0,9418.0,9418.0,9418.0,9418.0,9418.0,9418.0,
368,동구,계,시설수[개],개,9.0,8.0,126.0,177.0,178.0,183.0,181.0,181.0,181.0,181.0,178.0,176.0,180.0,197.0,196.0,197.0,
369,동구,계,면적[㎡],㎡,1305158.0,1132729.0,1813251.0,1231638.0,1226147.0,1233251.0,1189030.0,1189030.0,1189030.0,1189030.0,1185408.0,1182958.0,1208652.0,1089528.0,1055969.0,1040276.0,
376,서구,계,시설수[개],개,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,
377,서구,계,면적[㎡],㎡,636524.0,636524.0,666514.0,656330.0,655503.0,655503.0,655503.0,655503.0,655503.0,655503.0,430707.0,430707.0,434894.0,435620.0,435620.0,181246.0,
384,북구,계,시설수[개],개,42.0,42.0,42.0,45.0,45.0,44.0,63.0,63.0,68.0,129.0,156.0,163.0,159.0,165.0,163.0,163.0,
385,북구,계,면적[㎡],㎡,1727014.0,1727014.0,1727014.0,1735992.0,1714662.0,1424018.0,1497288.0,1493071.0,1504758.0,948605.0,1069398.0,1102443.0,1092359.0,1238239.0,1210457.0,577153.0,
392,수성구,계,시설수[개],개,13.0,26.0,26.0,28.0,28.0,28.0,28.0,33.0,33.0,32.0,32.0,32.0,34.0,33.0,33.0,54.0,
393,수성구,계,면적[㎡],㎡,107440.0,114260.0,114260.0,89047.0,88529.0,88425.0,88425.0,278071.0,279857.0,269008.0,269008.0,269008.0,270512.0,269795.0,268764.0,338019.0,
400,달서구,계,시설수[개],개,39.0,40.0,40.0,40.0,40.0,43.0,60.0,60.0,60.0,60.0,60.0,62.0,68.0,68.0,70.0,70.0,
401,달서구,계,면적[㎡],㎡,880471.0,882810.0,882810.0,862880.0,862880.0,819759.0,828258.0,828004.0,828004.0,815877.0,813901.0,816268.0,820477.0,821683.0,822434.0,751095.0,
408,달성군,계,시설수[개],개,39.0,39.0,179.0,174.0,175.0,176.0,175.0,175.0,213.0,217.0,193.0,193.0,191.0,198.0,198.0,189.0,
409,달성군,계,면적[㎡],㎡,2184097.0,2184097.0,2827354.0,3890992.0,3729305.0,3754297.0,3741958.0,3742148.0,4334775.0,4329933.0,4153860.0,3450082.0,3232415.0,3010847.0,3129672.0,1795639.0,
416,인천광역시,계,시설수[개],개,376.0,602.0,602.0,447.0,582.0,975.0,1793.0,1278.0,1149.0,1237.0,1304.0,1286.0,1271.0,1275.0,1277.0,1279.0,
417,인천광역시,계,면적[㎡],㎡,3932848.0,5601991.0,5601991.0,2638514.0,4969547.0,9357955.0,16211039.0,10933937.0,9526054.0,10238415.0,10600844.0,10784366.0,9466026.0,9756545.0,9752122.0,9991482.0,
424,인천광역시,계,시설수[개],개,,,,,,341.0,1150.0,,,,536.0,530.0,516.0,529.0,531.0,531.0,
425,인천광역시,계,면적[㎡],㎡,,,,,,4223422.0,10951106.0,,,,6197786.0,7331681.0,5970605.0,6260204.0,6258179.0,6258179.0,
432,중구,계,시설수[개],개,19.0,27.0,27.0,,34.0,34.0,34.0,172.0,174.0,174.0,12.0,8.0,8.0,8.0,6.0,6.0,
433,중구,계,면적[㎡],㎡,1248678.0,1254155.0,1254155.0,,1927866.0,1927866.0,1927866.0,3838371.0,3178900.0,3178900.0,733309.0,18673.0,18673.0,18673.0,14259.0,14259.0,
440,동구,계,시설수[개],개,4.0,4.0,4.0,3.0,10.0,17.0,17.0,17.0,17.0,19.0,,,,,,,
441,동구,계,면적[㎡],㎡,164415.0,164416.0,164416.0,171832.0,173768.0,186123.0,186123.0,186123.0,187366.0,191977.0,,,,,,,
448,남구,계,시설수[개],개,15.0,15.0,15.0,14.0,14.0,58.0,62.0,68.0,83.0,83.0,78.0,77.0,75.0,,,,
449,남구,계,면적[㎡],㎡,265653.0,265658.0,265658.0,275670.0,275670.0,427884.0,463108.0,512060.0,625485.0,622765.0,555139.0,552294.0,545949.0,,,,
456,미추홀구,계,시설수[개],개,,,,,,,,,,,,,,69.0,69.0,71.0,
457,미추홀구,계,면적[㎡],㎡,,,,,,,,,,,,,,526155.0,526155.0,528228.0,
464,연수구,계,시설수[개],개,31.0,201.0,201.0,119.0,122.0,122.0,122.0,95.0,98.0,103.0,18.0,18.0,18.0,19.0,19.0,19.0,
465,연수구,계,면적[㎡],㎡,615591.0,2200392.0,2200392.0,308865.0,513707.0,513707.0,513707.0,1025689.0,1065122.0,1305729.0,331502.0,331502.0,331425.0,339081.0,339081.0,339081.0,
472,남동구,계,시설수[개],개,105.0,150.0,150.0,165.0,165.0,165.0,165.0,165.0,210.0,210.0,210.0,212.0,212.0,211.0,210.0,208.0,
473,남동구,계,면적[㎡],㎡,389801.0,486541.0,486541.0,716446.0,716446.0,716446.0,716446.0,716446.0,785347.0,782752.0,723362.0,781467.0,781467.0,820734.0,813626.0,809963.0,
480,부평구,계,시설수[개],개,81.0,84.0,84.0,9.0,92.0,92.0,92.0,198.0,109.0,111.0,104.0,104.0,104.0,102.0,102.0,102.0,
481,부평구,계,면적[㎡],㎡,272845.0,255307.0,255307.0,288696.0,463412.0,463412.0,463412.0,736929.0,279905.0,281743.0,193749.0,193749.0,193749.0,192449.0,192449.0,194754.0,
488,계양구,계,시설수[개],개,28.0,28.0,28.0,28.0,36.0,37.0,41.0,44.0,37.0,37.0,53.0,55.0,56.0,57.0,58.0,58.0,
489,계양구,계,면적[㎡],㎡,69540.0,69910.0,69910.0,69902.0,91575.0,91992.0,104982.0,107582.0,78513.0,78513.0,134986.0,139948.0,189106.0,185480.0,193765.0,193765.0,
496,서구,계,시설수[개],개,91.0,91.0,91.0,107.0,107.0,107.0,108.0,514.0,416.0,466.0,258.0,247.0,247.0,245.0,247.0,249.0,
497,서구,계,면적[㎡],㎡,895416.0,894703.0,894703.0,796194.0,796194.0,796194.0,873380.0,3772474.0,3287153.0,3458923.0,1395181.0,1099222.0,1099222.0,1077939.0,1078778.0,1317423.0,
504,강화군,계,시설수[개],개,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,
505,강화군,계,면적[㎡],㎡,10909.0,10909.0,10909.0,10909.0,10909.0,10909.0,10909.0,38263.0,38263.0,337113.0,335830.0,335830.0,335830.0,335830.0,335830.0,335830.0,
512,광주광역시,계,시설수[개],개,119.0,119.0,119.0,250.0,265.0,265.0,265.0,87.0,93.0,93.0,95.0,94.0,95.0,96.0,96.0,100.0,
513,광주광역시,계,면적[㎡],㎡,1925109.0,1925109.0,1925109.0,3128256.0,3315261.0,3315261.0,3315261.0,3044671.0,3784609.0,3964630.0,3969891.0,3959483.0,3969901.0,3902033.0,3902033.0,4073493.0,
520,광주광역시,계,시설수[개],개,119.0,119.0,119.0,250.0,252.0,252.0,252.0,,,,,,,,,6.0,
521,광주광역시,계,면적[㎡],㎡,1925109.0,1925109.0,1925109.0,3128256.0,3288251.0,3288251.0,3288251.0,,,,,,,,,486448.0,
528,서구,계,시설수[개],개,,,,,,,,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,
529,서구,계,면적[㎡],㎡,,,,,,,,274863.0,276015.0,276015.0,278045.0,278045.0,278045.0,278045.0,278045.0,278045.0,
536,남구,계,시설수[개],개,,,,,,,,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,
537,남구,계,면적[㎡],㎡,,,,,,,,106804.0,140722.0,140390.0,140390.0,140390.0,140390.0,145150.0,145150.0,135957.0,
544,북구,계,시설수[개],개,,,,,,,,18.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,
545,북구,계,면적[㎡],㎡,,,,,,,,539581.0,642845.0,694090.0,694090.0,694090.0,704508.0,701150.0,701150.0,701150.0,
552,광산구,계,시설수[개],개,,,,,,,,29.0,30.0,30.0,30.0,30.0,30.0,32.0,32.0,32.0,
553,광산구,계,면적[㎡],㎡,,,,,,,,2089180.0,2663257.0,2792365.0,2792365.0,2792365.0,2792365.0,2724941.0,2724941.0,2419146.0,
560,동구,계,시설수[개],개,,,,,13.0,13.0,13.0,9.0,14.0,14.0,15.0,14.0,14.0,13.0,13.0,13.0,
561,동구,계,면적[㎡],㎡,,,,,27010.0,27010.0,27010.0,34243.0,61770.0,61770.0,65001.0,54593.0,54593.0,52747.0,52747.0,52747.0,
568,대전광역시,계,시설수[개],개,226.0,279.0,277.0,344.0,341.0,359.0,385.0,449.0,396.0,427.0,405.0,426.0,432.0,434.0,434.0,424.0,
569,대전광역시,계,면적[㎡],㎡,2518086.0,2665422.0,2636543.0,3045791.0,2911027.0,2935446.0,2931078.0,3010394.0,2824272.0,3010061.0,2944213.0,2917406.0,2911037.0,2833730.0,2933261.0,2735010.0,
576,동구,계,시설수[개],개,15.0,19.0,17.0,25.0,39.0,51.0,51.0,51.0,61.0,61.0,45.0,45.0,48.0,49.0,48.0,41.0,
577,동구,계,면적[㎡],㎡,177467.0,188724.0,159845.0,360629.0,418819.0,434960.0,434960.0,434960.0,483591.0,483591.0,453779.0,445934.0,444154.0,434138.0,430673.0,366995.0,
584,중구,계,시설수[개],개,11.0,12.0,12.0,17.0,22.0,25.0,27.0,27.0,25.0,23.0,23.0,22.0,22.0,22.0,22.0,18.0,
585,중구,계,면적[㎡],㎡,200638.0,203054.0,203054.0,214979.0,231455.0,235996.0,237585.0,237585.0,229351.0,227509.0,227737.0,226468.0,226720.0,222464.0,222829.0,73661.0,
592,서구,계,시설수[개],개,18.0,18.0,18.0,52.0,51.0,51.0,48.0,48.0,49.0,49.0,50.0,65.0,65.0,65.0,65.0,65.0,
593,서구,계,면적[㎡],㎡,293912.0,294964.0,294964.0,484432.0,470251.0,470251.0,445887.0,445887.0,428716.0,428716.0,413980.0,489131.0,489131.0,489131.0,483190.0,489637.0,
600,유성구,계,시설수[개],개,145.0,193.0,193.0,213.0,182.0,184.0,211.0,275.0,209.0,243.0,237.0,246.0,249.0,250.0,258.0,258.0,
601,유성구,계,면적[㎡],㎡,727803.0,927339.0,927339.0,919186.0,687965.0,691185.0,763983.0,843299.0,758932.0,971508.0,952788.0,982793.0,980317.0,1010827.0,1062490.0,1062490.0,
608,대덕구,계,시설수[개],개,37.0,37.0,37.0,37.0,47.0,48.0,48.0,48.0,52.0,51.0,50.0,48.0,48.0,48.0,41.0,41.0,
609,대덕구,계,면적[㎡],㎡,1118266.0,1051341.0,1051341.0,1066565.0,1102537.0,1103054.0,1048663.0,1048663.0,923682.0,898737.0,895929.0,773080.0,770715.0,677170.0,734079.0,734079.0,
616,울산광역시,계,시설수[개],개,247.0,279.0,331.0,350.0,394.0,500.0,497.0,509.0,505.0,540.0,553.0,563.0,551.0,551.0,556.0,544.0,
617,울산광역시,계,면적[㎡],㎡,6011746.0,7017367.0,7514998.0,7869099.0,8782623.0,9495674.0,9479817.0,9602228.0,9592618.0,9887988.0,10065505.0,10368961.0,9931368.0,9926509.0,9931667.0,6976881.0,
624,울산광역시,계,시설수[개],개,239.0,279.0,331.0,350.0,394.0,500.0,497.0,509.0,505.0,536.0,549.0,563.0,551.0,551.0,556.0,544.0,
625,울산광역시,계,면적[㎡],㎡,5925956.0,7017367.0,7514998.0,7869099.0,8782623.0,9495674.0,9479817.0,9602228.0,9592618.0,9735967.0,9913484.0,10368961.0,9931368.0,9926509.0,9931667.0,6976881.0,
632,남구,계,시설수[개],개,,,,,,,,,,4.0,4.0,,,,,,
633,남구,계,면적[㎡],㎡,,,,,,,,,,152021.0,152021.0,,,,,,
640,동구,계,시설수[개],개,8.0,,,,,,,,,,,,,,,,
641,동구,계,면적[㎡],㎡,85790.0,,,,,,,,,,,,,,,,
646,세종특별자치시,계,시설수[개],개,,,,,,,,273.0,290.0,315.0,287.0,293.0,290.0,290.0,314.0,440.0,
647,세종특별자치시,계,면적[㎡],㎡,,,,,,,,2372919.0,2443065.0,3120877.0,3128675.0,3151852.0,3096189.0,3096189.0,3549631.0,4570841.0,
654,세종특별자치시,계,시설수[개],개,,,,,,,,273.0,290.0,315.0,287.0,293.0,290.0,290.0,314.0,440.0,
655,세종특별자치시,계,면적[㎡],㎡,,,,,,,,2372919.0,2443065.0,3120877.0,3128675.0,3151852.0,3096189.0,3096189.0,3549631.0,4570841.0,
662,경기도,계,시설수[개],개,1236.0,1745.0,2142.0,3009.0,4084.0,4764.0,5098.0,5233.0,5301.0,5362.0,6050.0,6093.0,6380.0,6836.0,7010.0,7034.0,
663,경기도,계,면적[㎡],㎡,18878880.0,20017377.0,22247984.0,27304489.0,29395622.0,34907648.0,37669208.0,38178208.0,40405498.0,40261433.0,66334239.0,65194120.0,79089449.0,63662145.0,64603217.0,60841319.0,
670,수원시,계,시설수[개],개,191.0,191.0,191.0,190.0,514.0,610.0,610.0,612.0,606.0,606.0,608.0,605.0,605.0,607.0,621.0,594.0,
