Unnamed: 0,소재지(시군구)별,인구현황별,항목,단위,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,Unnamed: 20
70,성북구,전체인구(A),도시지역 인구현황(시군구),명,462879.0,472843.0,469973.0,473357.0,476028.0,488932.0,485171.0,481857.0,476589.0,466706.0,459275.0,450355.0,444055.0,435868.0,442650.0,437153.0,
77,강북구,전체인구(A),도시지역 인구현황(시군구),명,353260.0,348990.0,345478.0,342274.0,340367.0,346520.0,345054.0,343157.0,338707.0,335025.0,330873.0,327195.0,324479.0,319164.0,313954.0,308055.0,
84,도봉구,전체인구(A),도시지역 인구현황(시군구),명,381529.0,377534.0,375975.0,373936.0,369733.0,368298.0,365573.0,362270.0,358582.0,353709.0,351242.0,348220.0,344166.0,339413.0,333362.0,325257.0,
91,노원구,전체인구(A),도시지역 인구현황(시군구),명,622003.0,618093.0,616753.0,615981.0,610616.0,611230.0,603930.0,597189.0,590479.0,582552.0,574583.0,567581.0,554403.0,543752.0,532905.0,523037.0,
98,은평구,전체인구(A),도시지역 인구현황(시군구),명,470751.0,464580.0,459196.0,458401.0,465895.0,488109.0,493634.0,501480.0,503660.0,498644.0,497920.0,491476.0,486794.0,483197.0,480032.0,479835.0,
105,서대문구,전체인구(A),도시지역 인구현황(시군구),명,349163.0,349020.0,348575.0,331688.0,327451.0,324541.0,314852.0,315113.0,314110.0,310376.0,312141.0,314194.0,312800.0,310313.0,309397.0,312173.0,
112,마포구,전체인구(A),도시지역 인구현황(시군구),명,388164.0,390583.0,392650.0,385119.0,384013.0,391865.0,389493.0,384644.0,381856.0,385439.0,387643.0,379892.0,374915.0,375077.0,374035.0,371890.0,
119,양천구,전체인구(A),도시지역 인구현황(시군구),명,499755.0,501717.0,503650.0,502343.0,501395.0,500001.0,500210.0,495911.0,492528.0,486221.0,484532.0,477739.0,471154.0,464185.0,458165.0,454251.0,
126,강서구,전체인구(A),도시지역 인구현황(시군구),명,553660.0,554945.0,560424.0,576848.0,572836.0,574127.0,569072.0,567431.0,569070.0,585160.0,589074.0,595485.0,601691.0,596949.0,591796.0,580185.0,
133,구로구,전체인구(A),도시지역 인구현황(시군구),명,416405.0,419832.0,420542.0,420795.0,421967.0,423736.0,427468.0,427520.0,424964.0,425831.0,422092.0,417551.0,410742.0,404497.0,406664.0,404408.0,
140,금천구,전체인구(A),도시지역 인구현황(시군구),명,256902.0,253243.0,249108.0,247320.0,244835.0,245195.0,243438.0,243288.0,241020.0,238463.0,236284.0,235386.0,235154.0,233917.0,232810.0,231733.0,
147,영등포구,전체인구(A),도시지역 인구현황(시군구),명,408386.0,408698.0,408178.0,408099.0,405798.0,406833.0,397443.0,391408.0,386471.0,382352.0,378504.0,370613.0,368550.0,367778.0,367678.0,379480.0,
154,동작구,전체인구(A),도시지역 인구현황(시군구),명,410481.0,408582.0,405967.0,400866.0,397920.0,402709.0,401408.0,405491.0,410815.0,407470.0,400641.0,400997.0,396217.0,396203.0,395963.0,391220.0,
161,관악구,전체인구(A),도시지역 인구현황(시군구),명,530020.0,535217.0,535571.0,534556.0,529869.0,531434.0,526397.0,523029.0,518028.0,513186.0,509663.0,506851.0,503297.0,501957.0,500094.0,495060.0,
168,서초구,전체인구(A),도시지역 인구현황(시군구),명,401736.0,408266.0,405969.0,406320.0,425481.0,434720.0,433564.0,435044.0,441763.0,449678.0,446764.0,447192.0,441102.0,433951.0,430826.0,425126.0,
175,강남구,전체인구(A),도시지역 인구현황(시군구),명,540909.0,556964.0,560958.0,557832.0,562138.0,570095.0,565710.0,564197.0,563599.0,578114.0,576495.0,567115.0,556164.0,542364.0,545169.0,539231.0,
182,송파구,전체인구(A),도시지역 인구현황(시군구),명,605840.0,607005.0,623876.0,668962.0,681476.0,685279.0,682209.0,673115.0,668415.0,664738.0,660302.0,657831.0,664496.0,666635.0,675961.0,667960.0,
189,강동구,전체인구(A),도시지역 인구현황(시군구),명,464059.0,461760.0,464546.0,469024.0,484745.0,491871.0,495138.0,487905.0,483379.0,476597.0,458658.0,444168.0,436223.0,427573.0,436067.0,459970.0,
196,부산광역시,전체인구(A),도시지역 인구현황(시군구),명,3638293.0,3611992.0,3587439.0,3564577.0,3543030.0,3567910.0,3550963.0,3538484.0,3527635.0,3519401.0,3513777.0,3498529.0,3470653.0,3441453.0,3413841.0,3391946.0,
203,부산광역시,전체인구(A),도시지역 인구현황(시군구),명,,,,0.0,0.0,,0.0,,,,,,,,,,
210,중구,전체인구(A),도시지역 인구현황(시군구),명,51957.0,50766.0,50004.0,49565.0,48905.0,49442.0,48686.0,48148.0,47345.0,46737.0,45816.0,45208.0,44218.0,42795.0,41910.0,41523.0,
217,서구,전체인구(A),도시지역 인구현황(시군구),명,139607.0,136226.0,132803.0,129385.0,125785.0,126040.0,123718.0,120828.0,118783.0,118115.0,115963.0,112973.0,110039.0,110534.0,108229.0,108135.0,
224,동구,전체인구(A),도시지역 인구현황(시군구),명,109879.0,106890.0,104881.0,102764.0,101153.0,101514.0,100420.0,98529.0,96011.0,94565.0,92069.0,89826.0,88868.0,86912.0,88165.0,88901.0,
231,영도구,전체인구(A),도시지역 인구현황(시군구),명,162961.0,158780.0,155273.0,152118.0,148139.0,146798.0,143205.0,139765.0,135816.0,132102.0,129385.0,126362.0,123521.0,120109.0,116711.0,113342.0,
238,부산진구,전체인구(A),도시지역 인구현황(시군구),명,410610.0,405775.0,402359.0,400516.0,395689.0,395826.0,395044.0,392731.0,389765.0,387378.0,381572.0,376526.0,371703.0,362357.0,357880.0,359886.0,
245,동래구,전체인구(A),도시지역 인구현황(시군구),명,276095.0,279528.0,284901.0,282673.0,281644.0,282779.0,283742.0,278767.0,276689.0,275971.0,272837.0,272745.0,270727.0,266515.0,271247.0,270745.0,
252,남구,전체인구(A),도시지역 인구현황(시군구),명,302257.0,297893.0,296666.0,298314.0,297963.0,298458.0,295121.0,291175.0,291770.0,286989.0,283101.0,278779.0,273854.0,279917.0,274480.0,267731.0,
259,북구,전체인구(A),도시지역 인구현황(시군구),명,335699.0,330446.0,325302.0,318859.0,314227.0,312218.0,307988.0,312937.0,309719.0,306974.0,310484.0,310202.0,302924.0,296952.0,291132.0,283952.0,
266,해운대구,전체인구(A),도시지역 인구현황(시군구),명,404599.0,418875.0,423816.0,424455.0,424974.0,426729.0,425618.0,428188.0,425536.0,423531.0,422818.0,419853.0,412039.0,409347.0,406102.0,402169.0,
273,사하구,전체인구(A),도시지역 인구현황(시군구),명,371909.0,366865.0,364693.0,365368.0,359800.0,358730.0,355443.0,352726.0,349110.0,343371.0,337781.0,334603.0,333301.0,327791.0,321004.0,311757.0,
280,금정구,전체인구(A),도시지역 인구현황(시군구),명,264880.0,263338.0,258934.0,256398.0,252039.0,255419.0,254720.0,255692.0,253526.0,249856.0,246026.0,244624.0,244469.0,242956.0,239062.0,232666.0,
287,강서구,전체인구(A),도시지역 인구현황(시군구),명,53808.0,53169.0,51819.0,52156.0,60372.0,62594.0,64733.0,65806.0,69873.0,79619.0,94608.0,108909.0,117382.0,122957.0,129566.0,137957.0,
294,연제구,전체인구(A),도시지역 인구현황(시군구),명,217763.0,214809.0,212658.0,212810.0,210390.0,212696.0,213326.0,211536.0,209290.0,208012.0,210718.0,207268.0,206742.0,207840.0,209395.0,209157.0,
301,수영구,전체인구(A),도시지역 인구현황(시군구),명,178684.0,177814.0,178253.0,177140.0,177292.0,178267.0,176691.0,176666.0,175098.0,178480.0,179795.0,179324.0,179996.0,176246.0,176148.0,176894.0,
308,사상구,전체인구(A),도시지역 인구현황(시군구),명,277481.0,271484.0,265512.0,260897.0,255274.0,257843.0,254413.0,250424.0,246797.0,242953.0,237711.0,232800.0,229219.0,223361.0,218094.0,212586.0,
315,기장군,전체인구(A),도시지역 인구현황(시군구),명,80104.0,79334.0,79565.0,81159.0,89384.0,102557.0,108095.0,114566.0,132507.0,144748.0,153093.0,158527.0,161651.0,164864.0,164716.0,174545.0,
322,대구광역시,전체인구(A),도시지역 인구현황(시군구),명,2511306.0,2496115.0,2493261.0,2492724.0,2489781.0,2511676.0,2507271.0,2505644.0,2501588.0,2493264.0,2487829.0,2484557.0,2475231.0,2461769.0,2438031.0,2418346.0,
329,대구광역시,전체인구(A),도시지역 인구현황(시군구),명,2511306.0,2496115.0,2493261.0,0.0,0.0,,0.0,,,,,,,,,,
336,중구,전체인구(A),도시지역 인구현황(시군구),명,,,,78824.0,77585.0,77857.0,76600.0,75439.0,76246.0,78812.0,80928.0,79712.0,78986.0,79401.0,77421.0,76547.0,
343,동구,전체인구(A),도시지역 인구현황(시군구),명,,,,330996.0,331421.0,337529.0,341206.0,342092.0,343802.0,347975.0,349728.0,351352.0,349379.0,351291.0,345469.0,341920.0,
350,서구,전체인구(A),도시지역 인구현황(시군구),명,,,,228720.0,225193.0,224618.0,222619.0,220211.0,215399.0,210770.0,206028.0,199507.0,191992.0,184372.0,175277.0,170700.0,
357,남구,전체인구(A),도시지역 인구현황(시군구),명,,,,175317.0,171873.0,171197.0,169095.0,168715.0,166062.0,163492.0,160852.0,156433.0,152845.0,150501.0,148113.0,146632.0,
364,북구,전체인구(A),도시지역 인구현황(시군구),명,,,,461518.0,453367.0,452505.0,449775.0,448485.0,444359.0,444375.0,443119.0,440383.0,441375.0,439489.0,437710.0,440263.0,
371,수성구,전체인구(A),도시지역 인구현황(시군구),명,,,,451732.0,456196.0,461988.0,461083.0,459779.0,461004.0,456505.0,451786.0,447011.0,439211.0,432759.0,428614.0,424314.0,
378,달서구,전체인구(A),도시지역 인구현황(시군구),명,,,,594616.0,598011.0,607083.0,606542.0,606557.0,610358.0,606433.0,602641.0,591891.0,578068.0,573413.0,568887.0,558631.0,
385,달성군,전체인구(A),도시지역 인구현황(시군구),명,,,,171001.0,176135.0,178899.0,180351.0,184366.0,184358.0,184902.0,192747.0,218268.0,243375.0,250543.0,256540.0,259339.0,
392,인천광역시,전체인구(A),도시지역 인구현황(시군구),명,2600495.0,2624391.0,2664576.0,2692696.0,2710579.0,2758296.0,2801274.0,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,
399,인천광역시,전체인구(A),도시지역 인구현황(시군구),명,,,,0.0,0.0,,0.0,,,,,,,,,,
406,중구,전체인구(A),도시지역 인구현황(시군구),명,92300.0,91916.0,89768.0,88713.0,89688.0,92890.0,93581.0,98648.0,107774.0,111929.0,114493.0,115249.0,117999.0,122499.0,135135.0,139729.0,
413,동구,전체인구(A),도시지역 인구현황(시군구),명,78128.0,75699.0,74087.0,74866.0,77308.0,79663.0,78692.0,76720.0,75093.0,73978.0,72571.0,71014.0,69487.0,66233.0,64427.0,62542.0,
420,남구,전체인구(A),도시지역 인구현황(시군구),명,420403.0,416672.0,412379.0,420741.0,419935.0,423876.0,417996.0,414500.0,411330.0,408305.0,404893.0,417103.0,419267.0,,,,
427,미추홀구,전체인구(A),도시지역 인구현황(시군구),명,,,,,,,,,,,,,,416542.0,408862.0,404343.0,
434,연수구,전체인구(A),도시지역 인구현황(시군구),명,265658.0,271010.0,268780.0,268668.0,271497.0,279230.0,287903.0,292589.0,300305.0,310703.0,319052.0,328627.0,335142.0,346359.0,366550.0,387450.0,
441,남동구,전체인구(A),도시지역 인구현황(시군구),명,379310.0,390044.0,425217.0,450054.0,463414.0,473423.0,495469.0,503597.0,507021.0,514656.0,531395.0,530982.0,536578.0,537161.0,532704.0,525354.0,
448,부평구,전체인구(A),도시지역 인구현황(시군구),명,567347.0,570283.0,568905.0,569246.0,563920.0,567493.0,560936.0,559047.0,556985.0,556992.0,555844.0,549716.0,539941.0,524640.0,511577.0,494962.0,
455,계양구,전체인구(A),도시지역 인구현황(시군구),명,335435.0,342335.0,342564.0,342299.0,344039.0,347810.0,344299.0,342202.0,343806.0,339538.0,334332.0,330284.0,323784.0,312680.0,303471.0,296750.0,
462,서구,전체인구(A),도시지역 인구현황(시군구),명,380916.0,384431.0,399430.0,393346.0,395508.0,408068.0,436134.0,469887.0,490035.0,498686.0,504606.0,510733.0,516017.0,538596.0,544556.0,542040.0,
469,강화군,전체인구(A),도시지역 인구현황(시군구),명,65389.0,65510.0,66466.0,67387.0,67049.0,67104.0,66779.0,66752.0,66735.0,67118.0,67667.0,68010.0,68754.0,68896.0,69178.0,69203.0,
476,옹진군,전체인구(A),도시지역 인구현황(시군구),명,15609.0,16491.0,16980.0,17376.0,18221.0,18739.0,19485.0,20039.0,20698.0,20703.0,20962.0,21351.0,21573.0,21036.0,20566.0,20455.0,
483,광주광역시,전체인구(A),도시지역 인구현황(시군구),명,1401745.0,1407798.0,1413444.0,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,
490,광주광역시,전체인구(A),도시지역 인구현황(시군구),명,1401745.0,,,0.0,0.0,,0.0,,,,,,,,,,
497,동구,전체인구(A),도시지역 인구현황(시군구),명,,114086.0,115066.0,109963.0,107772.0,104449.0,106495.0,105580.0,103016.0,100786.0,98784.0,95791.0,95448.0,94475.0,98585.0,102897.0,
504,서구,전체인구(A),도시지역 인구현황(시군구),명,,309362.0,307072.0,304885.0,299825.0,303219.0,317936.0,316545.0,315276.0,310317.0,305028.0,309579.0,306957.0,304172.0,300975.0,296576.0,
511,남구,전체인구(A),도시지역 인구현황(시군구),명,,211744.0,209024.0,213073.0,213697.0,216863.0,219041.0,218313.0,216254.0,219815.0,221318.0,219729.0,218454.0,216369.0,218060.0,214579.0,
518,북구,전체인구(A),도시지역 인구현황(시군구),명,,460985.0,466181.0,474121.0,469410.0,466866.0,444483.0,443677.0,445489.0,447685.0,446316.0,441066.0,438780.0,439773.0,433533.0,430431.0,
525,광산구,전체인구(A),도시지역 인구현황(시군구),명,,311621.0,316101.0,320660.0,342936.0,363239.0,375509.0,385101.0,392875.0,397281.0,400753.0,403049.0,404131.0,404547.0,405315.0,405579.0,
532,대전광역시,전체인구(A),도시지역 인구현황(시군구),명,1454638.0,1466158.0,1475659.0,1480895.0,1484180.0,1503664.0,1515603.0,1524583.0,1532811.0,1531809.0,1518775.0,1514370.0,1502227.0,1489936.0,1474870.0,1463882.0,
539,대전광역시,전체인구(A),도시지역 인구현황(시군구),명,,,,0.0,0.0,,0.0,,,,,,,,,,
546,동구,전체인구(A),도시지역 인구현황(시군구),명,234724.0,236504.0,244496.0,245973.0,246116.0,248835.0,251285.0,251945.0,250653.0,245493.0,239579.0,234959.0,230516.0,229071.0,226771.0,223021.0,
553,중구,전체인구(A),도시지역 인구현황(시군구),명,266635.0,263592.0,265430.0,264678.0,264035.0,265846.0,265502.0,264125.0,264913.0,261165.0,256186.0,252490.0,248933.0,244421.0,240473.0,235550.0,
560,서구,전체인구(A),도시지역 인구현황(시군구),명,509225.0,505600.0,501935.0,499172.0,499297.0,499742.0,499124.0,496513.0,498917.0,496132.0,490859.0,491011.0,487448.0,484663.0,481222.0,477880.0,
567,유성구,전체인구(A),도시지역 인구현황(시군구),명,220767.0,243130.0,250523.0,259831.0,266585.0,281692.0,294353.0,306312.0,313968.0,327461.0,335312.0,343222.0,348428.0,349790.0,349373.0,351047.0,
574,대덕구,전체인구(A),도시지역 인구현황(시군구),명,223287.0,217332.0,213275.0,211241.0,208147.0,207549.0,205339.0,205688.0,204360.0,201558.0,196839.0,192688.0,186902.0,181991.0,177031.0,176384.0,
581,울산광역시,전체인구(A),도시지역 인구현황(시군구),명,1087648.0,1092494.0,1099995.0,1112407.0,1114866.0,1126298.0,1135494.0,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,
588,울산광역시,전체인구(A),도시지역 인구현황(시군구),명,,,,0.0,0.0,,0.0,,,,,,,,,,
595,중구,전체인구(A),도시지역 인구현황(시군구),명,235417.0,234896.0,236573.0,233898.0,230212.0,232915.0,232634.0,233013.0,234607.0,238825.0,244481.0,242536.0,238652.0,231973.0,223581.0,217595.0,
602,남구,전체인구(A),도시지역 인구현황(시군구),명,347162.0,345769.0,342675.0,343922.0,343740.0,344131.0,343504.0,346836.0,349064.0,347759.0,343598.0,340714.0,335439.0,330732.0,323819.0,320064.0,
609,동구,전체인구(A),도시지역 인구현황(시군구),명,184599.0,185954.0,181844.0,176431.0,173841.0,170764.0,172172.0,175479.0,178468.0,176668.0,174963.0,174514.0,169605.0,164642.0,159656.0,156806.0,
616,북구,전체인구(A),도시지역 인구현황(시군구),명,146117.0,148772.0,155642.0,166469.0,171674.0,177488.0,182504.0,184088.0,185695.0,188733.0,191063.0,195285.0,200718.0,206434.0,217796.0,219014.0,
623,울주군,전체인구(A),도시지역 인구현황(시군구),명,174353.0,177103.0,183261.0,191687.0,195399.0,201000.0,204680.0,207840.0,208646.0,214392.0,219429.0,219255.0,220718.0,221842.0,223167.0,222538.0,
630,세종특별자치시,전체인구(A),도시지역 인구현황(시군구),명,,,,,,,,113117.0,122153.0,156125.0,210884.0,243048.0,280100.0,314126.0,340575.0,355831.0,
637,세종특별자치시,전체인구(A),도시지역 인구현황(시군구),명,,,,,,,,113117.0,122153.0,156125.0,210884.0,243048.0,280100.0,314126.0,340575.0,355831.0,
644,경기도,전체인구(A),도시지역 인구현황(시군구),명,10697215.0,10906033.0,11106211.0,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,
651,경기도,전체인구(A),도시지역 인구현황(시군구),명,,,,0.0,0.0,,0.0,,,,,,,,,,
658,수원시,전체인구(A),도시지역 인구현황(시군구),명,1045587.0,1068906.0,1067702.0,1067425.0,1073149.0,1077535.0,1088489.0,1120258.0,1148157.0,1174228.0,1184624.0,1194041.0,1202628.0,1201166.0,1194465.0,1186078.0,
665,성남시,전체인구(A),도시지역 인구현황(시군구),명,983075.0,964831.0,953960.0,942447.0,962726.0,980190.0,979323.0,978615.0,979534.0,974608.0,971424.0,974580.0,967510.0,954347.0,942724.0,940064.0,
672,고양시,전체인구(A),도시지역 인구현황(시군구),명,904077.0,910206.0,924839.0,938831.0,938784.0,950115.0,961239.0,969916.0,990571.0,1006154.0,1027546.0,1039684.0,1041983.0,1044189.0,1066351.0,1079216.0,
679,용인시,전체인구(A),도시지역 인구현황(시군구),명,693660.0,766569.0,800294.0,816763.0,839204.0,876550.0,896044.0,915959.0,941477.0,961026.0,975746.0,991126.0,1004081.0,1035126.0,1059609.0,1074176.0,
686,부천시,전체인구(A),도시지역 인구현황(시군구),명,855359.0,860020.0,864037.0,867678.0,869944.0,875204.0,872452.0,869944.0,863720.0,855586.0,848987.0,851380.0,850329.0,843768.0,829996.0,818383.0,
693,안산시,전체인구(A),도시지역 인구현황(시군구),명,679011.0,698819.0,705040.0,708257.0,705346.0,714891.0,715586.0,715108.0,713666.0,707876.0,697885.0,689859.0,677710.0,660343.0,650918.0,654915.0,
700,안양시,전체인구(A),도시지역 인구현황(시군구),명,625350.0,624280.0,624197.0,620279.0,616547.0,621714.0,615642.0,611412.0,607877.0,600809.0,597789.0,597414.0,587764.0,576831.0,567044.0,550027.0,
707,남양주시,전체인구(A),도시지역 인구현황(시군구),명,450054.0,470617.0,492347.0,505867.0,525211.0,564141.0,578485.0,599539.0,618305.0,636256.0,653454.0,662154.0,665321.0,681828.0,701830.0,713321.0,
714,화성시,전체인구(A),도시지역 인구현황(시군구),명,296530.0,310171.0,371972.0,449354.0,491528.0,505838.0,516765.0,525490.0,530251.0,540862.0,596525.0,640890.0,691086.0,758722.0,815396.0,855248.0,
721,평택시,전체인구(A),도시지역 인구현황(시군구),명,383976.0,396765.0,402458.0,406721.0,410042.0,419457.0,426886.0,434305.0,442034.0,449555.0,460532.0,470832.0,481530.0,495642.0,513027.0,537307.0,
728,의정부시,전체인구(A),도시지역 인구현황(시군구),명,402410.0,410938.0,421853.0,430849.0,431008.0,431801.0,430400.0,429147.0,430976.0,431112.0,433937.0,438457.0,441584.0,447026.0,451868.0,461710.0,
735,시흥시,전체인구(A),도시지역 인구현황(시군구),명,387239.0,390477.0,390564.0,392756.0,397912.0,403797.0,401149.0,399485.0,396765.0,394639.0,398256.0,402888.0,419664.0,448687.0,473682.0,500895.0,
742,파주시,전체인구(A),도시지역 인구현황(시군구),명,261770.0,292752.0,303831.0,311164.0,323011.0,355632.0,378790.0,394201.0,401718.0,411348.0,423321.0,430781.0,437848.0,451848.0,454040.0,465617.0,
749,광명시,전체인구(A),도시지역 인구현황(시군구),명,327828.0,313372.0,313019.0,310501.0,314257.0,343982.0,355226.0,355560.0,353100.0,348560.0,344978.0,339484.0,332790.0,326841.0,316552.0,298599.0,
756,김포시,전체인구(A),도시지역 인구현황(시군구),명,207229.0,207824.0,205997.0,220418.0,225805.0,238339.0,256994.0,287432.0,312305.0,340310.0,349990.0,363443.0,392092.0,423170.0,437221.0,473970.0,
763,군포시,전체인구(A),도시지역 인구현황(시군구),명,277781.0,274569.0,275351.0,277590.0,275731.0,287833.0,287294.0,286841.0,286344.0,288408.0,287519.0,284890.0,281205.0,276916.0,275852.0,273791.0,
770,광주시,전체인구(A),도시지역 인구현황(시군구),명,214498.0,222048.0,229319.0,234777.0,238583.0,249789.0,265222.0,275656.0,286699.0,298858.0,312579.0,327723.0,345947.0,363782.0,372654.0,382054.0,
777,이천시,전체인구(A),도시지역 인구현황(시군구),명,192271.0,194369.0,195691.0,196633.0,197496.0,202595.0,204566.0,204917.0,205479.0,205014.0,204935.0,210359.0,213142.0,214206.0,215834.0,218388.0,
784,양주시,전체인구(A),도시지역 인구현황(시군구),명,160589.0,169806.0,179914.0,179914.0,182106.0,196706.0,200360.0,200310.0,199143.0,202072.0,205184.0,205513.0,212146.0,216951.0,222314.0,230359.0,
791,오산시,전체인구(A),도시지역 인구현황(시군구),명,129843.0,136311.0,145825.0,150237.0,159734.0,182516.0,193892.0,200291.0,205460.0,208565.0,206828.0,208656.0,213437.0,220070.0,226379.0,229725.0,
798,구리시,전체인구(A),도시지역 인구현황(시군구),명,192548.0,193847.0,196800.0,195874.0,195593.0,196398.0,194881.0,192341.0,189680.0,186820.0,186721.0,193763.0,200042.0,203553.0,199265.0,197454.0,
805,안성시,전체인구(A),도시지역 인구현황(시군구),명,157130.0,159655.0,163733.0,169545.0,170919.0,177937.0,180743.0,181608.0,182173.0,181896.0,180199.0,182896.0,182786.0,183579.0,183405.0,187012.0,
812,포천시,전체인구(A),도시지역 인구현황(시군구),명,155242.0,157269.0,158156.0,160176.0,158931.0,158658.0,157967.0,157559.0,156603.0,155798.0,155192.0,154763.0,152925.0,150676.0,148379.0,147274.0,
819,의왕시,전체인구(A),도시지역 인구현황(시군구),명,145952.0,138253.0,135009.0,134488.0,140874.0,147443.0,149607.0,154757.0,159772.0,158482.0,157740.0,156763.0,155767.0,153932.0,161153.0,163795.0,
826,하남시,전체인구(A),도시지역 인구현황(시군구),명,132850.0,134824.0,137131.0,143638.0,148566.0,150479.0,148397.0,146269.0,145096.0,148896.0,166713.0,211101.0,232487.0,254415.0,272455.0,293452.0,
833,여주시,전체인구(A),도시지역 인구현황(시군구),명,,,,,,,,,109343.0,110386.0,111033.0,111563.0,111984.0,111525.0,111083.0,111897.0,
840,여주군,전체인구(A),도시지역 인구현황(시군구),명,104260.0,105022.0,106926.0,107355.0,108088.0,109250.0,109120.0,109550.0,,,,,,,,,
847,양평군,전체인구(A),도시지역 인구현황(시군구),명,85533.0,86298.0,87874.0,89812.0,91450.0,95833.0,99430.0,102193.0,103620.0,105379.0,108316.0,111367.0,115105.0,116095.0,116874.0,118810.0,
854,동두천시,전체인구(A),도시지역 인구현황(시군구),명,82623.0,85803.0,88780.0,90835.0,93211.0,95653.0,96253.0,97175.0,97557.0,97595.0,97974.0,98277.0,97071.0,96226.0,94768.0,94353.0,
861,과천시,전체인구(A),도시지역 인구현황(시군구),명,60956.0,60482.0,62291.0,69477.0,72049.0,72279.0,71955.0,71068.0,70578.0,70156.0,68946.0,63778.0,57527.0,58142.0,58289.0,63231.0,
868,가평군,전체인구(A),도시지역 인구현황(시군구),명,54861.0,54855.0,55698.0,57108.0,57564.0,58890.0,59358.0,60794.0,61017.0,61213.0,62008.0,62448.0,62973.0,62918.0,62415.0,62377.0,
875,연천군,전체인구(A),도시지역 인구현황(시군구),명,47123.0,46075.0,45603.0,45495.0,45241.0,45177.0,44900.0,45599.0,45610.0,45363.0,45725.0,45907.0,45431.0,44633.0,43824.0,43516.0,
882,강원도,전체인구(A),도시지역 인구현황(시군구),명,1513110.0,1505420.0,1503806.0,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,
889,강원도,전체인구(A),도시지역 인구현황(시군구),명,,,,0.0,0.0,,0.0,,,,,,,,,,
896,춘천시,전체인구(A),도시지역 인구현황(시군구),명,254999.0,256239.0,258141.0,261975.0,264849.0,269950.0,272805.0,273364.0,274455.0,275791.0,277997.0,280707.0,280514.0,280640.0,281291.0,282765.0,
903,원주시,전체인구(A),도시지역 인구현황(시군구),명,288454.0,294155.0,298762.0,303975.0,307882.0,314678.0,320536.0,323885.0,324837.0,327292.0,332995.0,337979.0,341337.0,344070.0,349215.0,354376.0,
